date,location_identifier,transactions
20-01-2015,location_49,2536
20-01-2015,location_50,3195
20-01-2015,location_51,1756
20-01-2015,location_54,1178
21-01-2015,location_1,1770
21-01-2015,location_2,1864
21-01-2015,location_3,2930
21-01-2015,location_4,1458
21-01-2015,location_5,1506
21-01-2015,location_6,1602
21-01-2015,location_7,1649
21-01-2015,location_8,2688
21-01-2015,location_9,2149
21-01-2015,location_10,1200
21-01-2015,location_11,2200
21-01-2015,location_12,1156
21-01-2015,location_13,864
21-01-2015,location_14,1934
21-01-2015,location_15,1439
21-01-2015,location_16,1000
21-01-2015,location_17,1310
21-01-2015,location_18,1306
21-01-2015,location_19,1158
21-01-2015,location_23,1161
21-01-2015,location_24,2391
21-01-2015,location_25,754
21-01-2015,location_26,730
21-01-2015,location_27,1018
21-01-2015,location_28,708
21-01-2015,location_30,692
21-01-2015,location_31,1184
21-01-2015,location_32,667
21-01-2015,location_33,1046
21-01-2015,location_34,2379
21-01-2015,location_35,509
21-01-2015,location_37,1370
21-01-2015,location_38,1414
21-01-2015,location_39,1325
21-01-2015,location_40,1169
21-01-2015,location_41,715
21-01-2015,location_43,1124
21-01-2015,location_44,3508
21-01-2015,location_45,3134
21-01-2015,location_46,3186
21-01-2015,location_47,3335
21-01-2015,location_48,2428
21-01-2015,location_49,1557
21-01-2015,location_50,2227
21-01-2015,location_51,1548
21-01-2015,location_54,788
22-01-2015,location_1,1762
22-01-2015,location_2,1794
22-01-2015,location_3,2721
22-01-2015,location_4,1285
22-01-2015,location_5,1459
22-01-2015,location_6,1584
22-01-2015,location_7,1583
22-01-2015,location_8,2491
22-01-2015,location_9,1949
22-01-2015,location_10,1109
22-01-2015,location_11,2128
22-01-2015,location_12,1145
22-01-2015,location_13,903
22-01-2015,location_14,1558
22-01-2015,location_15,1270
22-01-2015,location_16,933
22-01-2015,location_17,1310
22-01-2015,location_18,1362
22-01-2015,location_19,1017
22-01-2015,location_23,1085
22-01-2015,location_24,2293
22-01-2015,location_25,692
22-01-2015,location_26,690
22-01-2015,location_27,969
22-01-2015,location_28,819
22-01-2015,location_30,752
22-01-2015,location_31,1185
22-01-2015,location_32,668
22-01-2015,location_33,1096
22-01-2015,location_34,2221
22-01-2015,location_35,627
22-01-2015,location_37,1299
22-01-2015,location_38,1317
22-01-2015,location_39,1258
22-01-2015,location_40,1017
22-01-2015,location_41,646
22-01-2015,location_43,1055
22-01-2015,location_44,3349
22-01-2015,location_45,2759
22-01-2015,location_46,2786
22-01-2015,location_47,2973
22-01-2015,location_48,2130
22-01-2015,location_49,1500
22-01-2015,location_50,2182
22-01-2015,location_51,1489
22-01-2015,location_54,768
23-01-2015,location_1,1873
23-01-2015,location_2,1951
23-01-2015,location_3,2911
23-01-2015,location_4,1465
23-01-2015,location_5,1461
23-01-2015,location_6,1740
23-01-2015,location_7,1657
23-01-2015,location_8,2625
23-01-2015,location_9,1741
23-01-2015,location_10,1023
23-01-2015,location_11,2063
23-01-2015,location_12,1142
23-01-2015,location_13,797
23-01-2015,location_14,1490
23-01-2015,location_15,1245
23-01-2015,location_16,908
23-01-2015,location_17,1082
23-01-2015,location_18,1231
23-01-2015,location_19,1078
23-01-2015,location_23,1178
23-01-2015,location_24,2501
23-01-2015,location_25,795
23-01-2015,location_26,681
23-01-2015,location_27,1034
23-01-2015,location_28,674
23-01-2015,location_30,655
23-01-2015,location_31,952
23-01-2015,location_32,565
23-01-2015,location_33,1011
23-01-2015,location_34,2071
23-01-2015,location_35,538
23-01-2015,location_37,1437
23-01-2015,location_38,1495
23-01-2015,location_39,1094
23-01-2015,location_40,886
23-01-2015,location_41,722
23-01-2015,location_43,1019
23-01-2015,location_44,3704
23-01-2015,location_45,2872
23-01-2015,location_46,2901
23-01-2015,location_47,3207
23-01-2015,location_48,2179
23-01-2015,location_49,1606
23-01-2015,location_50,2186
23-01-2015,location_51,1683
23-01-2015,location_54,690
24-01-2015,location_1,1616
